flight_number,origin_station_code,destination_station_code,score,satisfaction_type,arrival_delay_minutes,cabin_name,fleet_type_description,seat_factor_band,loyalty_program_level,fleet_usage,haul_type
145,EWX,OPX,4.0,Satisfied,22,,B757-200,90+,,Mainline,Long
145,EWX,OPX,2.0,Dissatisfied,22,Economy,B757-200,90+,non-elite,Mainline,Long
146,OPX,EWX,5.0,Satisfied,-11,Economy,B757-200,90+,non-elite,Mainline,Long
145,EWX,OPX,,Unknown,22,Economy,B757-200,90+,non-elite,Mainline,Long
250,TFX,EWX,4.0,Satisfied,30,Economy,B757-200,90+,,Mainline,Long
250,TFX,EWX,,Unknown,30,Economy,B757-200,90+,,Mainline,Long
250,TFX,EWX,4.0,Satisfied,30,,B757-200,90+,non-elite,Mainline,Long
250,TFX,EWX,,Unknown,30,,B757-200,90+,non-elite,Mainline,Long
385,DEX,HNX,1.0,Dissatisfied,0,,B777-200,90+,global services,Mainline,Long
384,HNX,DEX,1.0,Dissatisfied,-19,Economy Plus,B777-200,90+,,Mainline,Long
384,HNX,DEX,1.0,Dissatisfied,-19,Economy,B777-200,90+,non-elite,Mainline,Long
384,HNX,DEX,,Unknown,-19,Economy,B777-200,90+,non-elite,Mainline,Long
385,DEX,HNX,4.0,Satisfied,0,Economy Plus,B777-200,90+,non-elite,Mainline,Long
385,DEX,HNX,,Unknown,0,Economy Plus,B777-200,90+,non-elite,Mainline,Long
384,HNX,DEX,,Unknown,-19,Economy Plus,B777-200,90+,non-elite,Mainline,Long
384,HNX,DEX,,Unknown,-19,Economy Plus,B777-200,90+,,Mainline,Long
384,HNX,DEX,2.0,Dissatisfied,-19,Economy Plus,B777-200,90+,,Mainline,Long
384,HNX,DEX,1.0,Dissatisfied,-19,Economy Plus,B777-200,90+,non-elite,Mainline,Long
384,HNX,DEX,2.0,Dissatisfied,-19,Economy Plus,B777-200,90+,premier gold,Mainline,Long
385,DEX,HNX,,Unknown,0,,B777-200,90+,global services,Mainline,Long
385,DEX,HNX,1.0,Dissatisfied,0,Economy,B777-200,90+,non-elite,Mainline,Long
127,IAX,DUX,,Unknown,-25,Economy,B767-400,90+,,Mainline,Long
127,IAX,DUX,2.0,Dissatisfied,-25,Economy,B767-400,90+,,Mainline,Long
1686,LIX,DEX,,Unknown,-12,Economy,B757-200,90+,premier silver,Mainline,Long
1686,LIX,DEX,,Unknown,-12,Economy,B757-200,90+,premier silver,Mainline,Long
2308,DEX,LIX,4.0,Satisfied,6,,B757-200,80+,non-elite,Mainline,Long
1686,LIX,DEX,2.0,Dissatisfied,-12,Economy,B757-200,90+,,Mainline,Long
1686,LIX,DEX,,Unknown,-12,Economy,B757-200,90+,,Mainline,Long
1686,LIX,DEX,5.0,Satisfied,-12,Economy,B757-200,90+,premier silver,Mainline,Long
2308,DEX,LIX,,Unknown,6,,B757-200,80+,non-elite,Mainline,Long
1686,LIX,DEX,3.0,Dissatisfied,-12,Economy,B757-200,90+,premier silver,Mainline,Long
935,EWX,LHX,5.0,Satisfied,11,,B767-300,90+,non-elite,Mainline,Long
17,EWX,LHX,1.0,Dissatisfied,13,Economy Plus,B767-300,90+,,Mainline,Long
15,EWX,LHX,1.0,Dissatisfied,30,,B767-300,90+,premier gold,Mainline,Long
884,LHX,EWX,,Unknown,-10,,B767-300,80+,,Mainline,Long
17,EWX,LHX,4.0,Satisfied,13,,B767-300,90+,non-elite,Mainline,Long
15,EWX,LHX,,Unknown,30,,B767-300,90+,premier gold,Mainline,Long
17,EWX,LHX,5.0,Satisfied,13,,B767-300,90+,premier gold,Mainline,Long
17,EWX,LHX,,Unknown,13,Economy Plus,B767-300,90+,,Mainline,Long
884,LHX,EWX,4.0,Satisfied,-10,,B767-300,80+,,Mainline,Long
979,IAX,EDX,3.0,Dissatisfied,0,,B767-400,80+,non-elite,Mainline,Long
980,EDX,IAX,4.0,Satisfied,-40,Economy Plus,B767-400,90+,non-elite,Mainline,Long
944,LIX,IAX,,Unknown,6,,B757-200,90+,premier 1k,Mainline,Long
943,IAX,LIX,1.0,Dissatisfied,10,Economy,B757-200,90+,non-elite,Mainline,Long
943,IAX,LIX,2.0,Dissatisfied,10,Economy Plus,B757-200,90+,non-elite,Mainline,Long
944,LIX,IAX,1.0,Dissatisfied,6,,B757-200,90+,premier 1k,Mainline,Long
943,IAX,LIX,1.0,Dissatisfied,10,Economy Plus,B757-200,90+,premier gold,Mainline,Long
943,IAX,LIX,1.0,Dissatisfied,10,,B757-200,90+,premier silver,Mainline,Long
943,IAX,LIX,,Unknown,10,Economy Plus,B757-200,90+,premier gold,Mainline,Long
943,IAX,LIX,,Unknown,10,,B757-200,90+,premier silver,Mainline,Long
943,IAX,LIX,,Unknown,10,Economy Plus,B757-200,90+,non-elite,Mainline,Long
52,EWX,MAX,2.0,Dissatisfied,-11,,B767-400,90+,,Mainline,Long
52,EWX,MAX,,Unknown,-11,Economy Plus,B767-400,90+,non-elite,Mainline,Long
52,EWX,MAX,1.0,Dissatisfied,-11,,B767-400,90+,premier platinum,Mainline,Long
52,EWX,MAX,1.0,Dissatisfied,-11,Economy Plus,B767-400,90+,non-elite,Mainline,Long
58,EWX,CDX,1.0,Dissatisfied,37,Economy,B777-300,90+,non-elite,Mainline,Long
58,EWX,CDX,,Unknown,37,Economy Plus,B777-300,90+,premier 1k,Mainline,Long
58,EWX,CDX,1.0,Dissatisfied,37,Economy Plus,B777-300,90+,premier 1k,Mainline,Long
58,EWX,CDX,2.0,Dissatisfied,37,Economy,B777-300,90+,non-elite,Mainline,Long
72,AMX,EWX,2.0,Dissatisfied,274,Economy,B777-200,70+,non-elite,Mainline,Long
72,AMX,EWX,,Unknown,274,,B777-200,70+,premier 1k,Mainline,Long
72,AMX,EWX,2.0,Dissatisfied,274,,B777-200,70+,premier 1k,Mainline,Long
981,ORX,DUX,2.0,Dissatisfied,3,,B757-200,90+,,Mainline,Long
982,DUX,ORX,2.0,Dissatisfied,-47,Economy,B757-200,70+,,Mainline,Long
982,DUX,ORX,,Unknown,-47,Economy,B757-200,70+,non-elite,Mainline,Long
982,DUX,ORX,,Unknown,-47,Economy,B757-200,70+,,Mainline,Long
981,ORX,DUX,3.0,Dissatisfied,3,Economy,B757-200,90+,non-elite,Mainline,Long
981,ORX,DUX,,Unknown,3,Economy,B757-200,90+,non-elite,Mainline,Long
981,ORX,DUX,,Unknown,3,Economy,B757-200,90+,non-elite,Mainline,Long
982,DUX,ORX,5.0,Satisfied,-47,Economy,B757-200,70+,premier silver,Mainline,Long
982,DUX,ORX,1.0,Dissatisfied,-47,Economy,B757-200,70+,non-elite,Mainline,Long
981,ORX,DUX,5.0,Satisfied,3,Economy,B757-200,90+,non-elite,Mainline,Long
981,ORX,DUX,,Unknown,3,,B757-200,90+,,Mainline,Long
925,IAX,LHX,,Unknown,4,Economy,B767-300,90+,non-elite,Mainline,Long
920,LHX,IAX,5.0,Satisfied,-5,Economy,B777-200,70+,,Mainline,Long
925,IAX,LHX,2.0,Dissatisfied,4,Economy,B767-300,90+,non-elite,Mainline,Long
919,IAX,LHX,,Unknown,-12,Economy,B777-200,90+,,Mainline,Long
919,IAX,LHX,1.0,Dissatisfied,-12,Economy,B777-200,90+,,Mainline,Long
919,IAX,LHX,1.0,Dissatisfied,-12,Economy,B777-200,90+,non-elite,Mainline,Long
925,IAX,LHX,1.0,Dissatisfied,4,Economy,B767-300,90+,premier gold,Mainline,Long
919,IAX,LHX,1.0,Dissatisfied,-12,,B777-200,90+,premier silver,Mainline,Long
201,GUX,HNX,3.0,Dissatisfied,-2,,B777-300,80+,premier silver,Mainline,Long
202,HNX,GUX,5.0,Satisfied,-26,Economy,B777-300,70+,non-elite,Mainline,Long
202,HNX,GUX,,Unknown,-26,Economy,B777-300,70+,non-elite,Mainline,Long
202,HNX,GUX,1.0,Dissatisfied,-26,,B777-300,70+,premier platinum,Mainline,Long
202,HNX,GUX,,Unknown,-26,,B777-300,70+,premier platinum,Mainline,Long
201,GUX,HNX,,Unknown,-2,,B777-300,80+,premier silver,Mainline,Long
164,IAX,MAX,1.0,Dissatisfied,26,Economy Plus,B767-400,90+,premier silver,Mainline,Long
165,MAX,IAX,5.0,Satisfied,-13,Economy Plus,B767-400,0 to 70,,Mainline,Long
164,IAX,MAX,2.0,Dissatisfied,26,Economy,B767-400,90+,non-elite,Mainline,Long
165,MAX,IAX,,Unknown,-13,Economy Plus,B767-400,0 to 70,premier gold,Mainline,Long
165,MAX,IAX,4.0,Satisfied,-13,Economy Plus,B767-400,0 to 70,premier gold,Mainline,Long
165,MAX,IAX,,Unknown,-13,Economy Plus,B767-400,0 to 70,,Mainline,Long
165,MAX,IAX,3.0,Dissatisfied,-13,,B767-400,0 to 70,premier 1k,Mainline,Long
164,IAX,MAX,3.0,Dissatisfied,26,,B767-400,90+,premier gold,Mainline,Long
164,IAX,MAX,,Unknown,26,,B767-400,90+,premier gold,Mainline,Long
165,MAX,IAX,1.0,Dissatisfied,-13,Economy Plus,B767-400,0 to 70,non-elite,Mainline,Long
164,IAX,MAX,,Unknown,26,Economy,B767-400,90+,non-elite,Mainline,Long
122,BCX,EWX,4.0,Satisfied,-30,Economy,B767-400,80+,,Mainline,Long
121,EWX,BCX,1.0,Dissatisfied,55,,B767-400,90+,non-elite,Mainline,Long
122,BCX,EWX,1.0,Dissatisfied,-30,Economy,B767-400,80+,non-elite,Mainline,Long
122,BCX,EWX,,Unknown,-30,Economy,B767-400,80+,,Mainline,Long
916,IAX,CDX,4.0,Satisfied,19,Economy,B777-200,90+,non-elite,Mainline,Long
916,IAX,CDX,,Unknown,19,,B777-200,90+,premier gold,Mainline,Long
916,IAX,CDX,,Unknown,19,Economy,B777-200,90+,non-elite,Mainline,Long
916,IAX,CDX,4.0,Satisfied,19,,B777-200,90+,premier gold,Mainline,Long
961,EWX,FRX,4.0,Satisfied,39,Economy,B777-300,90+,,Mainline,Long
961,EWX,FRX,,Unknown,39,Economy,B777-300,90+,,Mainline,Long
961,EWX,FRX,,Unknown,39,Economy,B777-300,90+,,Mainline,Long
962,FRX,EWX,5.0,Satisfied,-35,,B777-300,90+,,Mainline,Long
962,FRX,EWX,,Unknown,-35,,B777-300,90+,,Mainline,Long
961,EWX,FRX,2.0,Dissatisfied,39,Economy,B777-300,90+,,Mainline,Long
957,EWX,GVX,3.0,Dissatisfied,0,Economy,B767-300,90+,non-elite,Mainline,Long
958,GVX,EWX,5.0,Satisfied,-40,,B767-300,90+,non-elite,Mainline,Long
958,GVX,EWX,,Unknown,-40,,B767-300,90+,premier 1k,Mainline,Long
957,EWX,GVX,,Unknown,0,Economy,B767-300,90+,non-elite,Mainline,Long
958,GVX,EWX,1.0,Dissatisfied,-40,,B767-300,90+,premier 1k,Mainline,Long
951,IAX,BRX,,Unknown,5,Economy,B777-300,90+,non-elite,Mainline,Long
951,IAX,BRX,3.0,Dissatisfied,5,Economy,B777-300,90+,non-elite,Mainline,Long
253,HNX,IAX,,Unknown,2,Economy Plus,B777-200,90+,non-elite,Mainline,Long
253,HNX,IAX,,Unknown,2,,B777-200,90+,premier silver,Mainline,Long
254,IAX,HNX,,Unknown,-8,Economy Plus,B777-200,80+,non-elite,Mainline,Long
253,HNX,IAX,1.0,Dissatisfied,2,,B777-200,90+,premier silver,Mainline,Long
253,HNX,IAX,1.0,Dissatisfied,2,Economy Plus,B777-200,90+,non-elite,Mainline,Long
254,IAX,HNX,5.0,Satisfied,-8,Economy Plus,B777-200,80+,non-elite,Mainline,Long
254,IAX,HNX,2.0,Dissatisfied,-8,Economy,B777-200,80+,non-elite,Mainline,Long
238,PMX,EWX,1.0,Dissatisfied,104,,B767-300,80+,premier platinum,Mainline,Long
238,PMX,EWX,,Unknown,104,,B767-300,80+,premier platinum,Mainline,Long
136,ZRX,EWX,,Unknown,-32,,B767-300,90+,premier silver,Mainline,Long
135,EWX,ZRX,4.0,Satisfied,57,,B767-300,90+,premier platinum,Mainline,Long
136,ZRX,EWX,4.0,Satisfied,-32,,B767-300,90+,premier silver,Mainline,Long
136,ZRX,EWX,4.0,Satisfied,-32,Economy,B767-300,90+,,Mainline,Long
135,EWX,ZRX,1.0,Dissatisfied,57,Economy,B767-300,90+,non-elite,Mainline,Long
135,EWX,ZRX,,Unknown,57,,B767-300,90+,premier platinum,Mainline,Long
136,ZRX,EWX,,Unknown,-32,Economy,B767-300,90+,,Mainline,Long
939,ORX,LHX,3.0,Dissatisfied,-15,,B767-300,90+,non-elite,Mainline,Long
960,LHX,ORX,2.0,Dissatisfied,10,,B767-300,0 to 70,non-elite,Mainline,Long
929,LHX,ORX,5.0,Satisfied,2,Economy,B767-300,70+,,Mainline,Long
960,LHX,ORX,,Unknown,10,,B767-300,0 to 70,premier platinum,Mainline,Long
960,LHX,ORX,,Unknown,10,Economy,B767-300,0 to 70,non-elite,Mainline,Long
960,LHX,ORX,5.0,Satisfied,10,Economy,B767-300,0 to 70,non-elite,Mainline,Long
939,ORX,LHX,,Unknown,-15,,B767-300,90+,non-elite,Mainline,Long
929,LHX,ORX,5.0,Satisfied,2,Economy,B767-300,70+,,Mainline,Long
960,LHX,ORX,5.0,Satisfied,10,,B767-300,0 to 70,premier platinum,Mainline,Long
963,EWX,BEX,2.0,Dissatisfied,3,Economy Plus,B767-400,90+,,Mainline,Long
964,BEX,EWX,5.0,Satisfied,-62,Economy Plus,B767-400,90+,,Mainline,Long
963,EWX,BEX,,Unknown,3,Economy Plus,B767-400,90+,,Mainline,Long
964,BEX,EWX,,Unknown,-62,Economy Plus,B767-400,90+,,Mainline,Long
964,BEX,EWX,1.0,Dissatisfied,-62,,B767-400,90+,premier platinum,Mainline,Long
19,MXX,EWX,2.0,Dissatisfied,-3,,B777-200,90+,premier gold,Mainline,Long
19,MXX,EWX,,Unknown,-3,,B777-200,90+,premier 1k,Mainline,Long
19,MXX,EWX,,Unknown,-3,,B777-200,90+,premier gold,Mainline,Long
20,EWX,MXX,,Unknown,25,Economy,B777-200,90+,,Mainline,Long
19,MXX,EWX,5.0,Satisfied,-3,Economy,B777-200,90+,,Mainline,Long
19,MXX,EWX,5.0,Satisfied,-3,,B777-200,90+,premier 1k,Mainline,Long
19,MXX,EWX,,Unknown,-3,Economy,B777-200,90+,,Mainline,Long
20,EWX,MXX,1.0,Dissatisfied,25,Economy,B777-200,90+,,Mainline,Long
31,EWX,MUX,4.0,Satisfied,42,,B777-200,90+,premier platinum,Mainline,Long
32,MUX,EWX,5.0,Satisfied,-31,Economy Plus,B777-200,90+,,Mainline,Long
32,MUX,EWX,,Unknown,-31,Economy Plus,B777-200,90+,,Mainline,Long
31,EWX,MUX,,Unknown,42,,B777-200,90+,premier platinum,Mainline,Long
993,IAX,BCX,2.0,Dissatisfied,14,Economy,B767-400,90+,,Mainline,Long
992,BCX,IAX,3.0,Dissatisfied,0,,B767-400,0 to 70,premier gold,Mainline,Long
992,BCX,IAX,,Unknown,0,,B767-400,0 to 70,premier gold,Mainline,Long
992,BCX,IAX,5.0,Satisfied,0,Economy,B767-400,0 to 70,non-elite,Mainline,Long
993,IAX,BCX,,Unknown,14,Economy,B767-400,90+,non-elite,Mainline,Long
992,BCX,IAX,,Unknown,0,Economy Plus,B767-400,0 to 70,non-elite,Mainline,Long
993,IAX,BCX,2.0,Dissatisfied,14,,B767-400,90+,non-elite,Mainline,Long
993,IAX,BCX,3.0,Dissatisfied,14,Economy,B767-400,90+,non-elite,Mainline,Long
993,IAX,BCX,,Unknown,14,Economy Plus,B767-400,90+,premier silver,Mainline,Long
992,BCX,IAX,2.0,Dissatisfied,0,Economy Plus,B767-400,0 to 70,non-elite,Mainline,Long
993,IAX,BCX,4.0,Satisfied,14,,B767-400,90+,premier silver,Mainline,Long
993,IAX,BCX,,Unknown,14,,B767-400,90+,non-elite,Mainline,Long
993,IAX,BCX,4.0,Satisfied,14,Economy,B767-400,90+,,Mainline,Long
993,IAX,BCX,2.0,Dissatisfied,14,Economy Plus,B767-400,90+,premier silver,Mainline,Long
993,IAX,BCX,,Unknown,14,,B767-400,90+,premier silver,Mainline,Long
989,FRX,IAX,,Unknown,-28,Economy Plus,B777-300,0 to 70,premier 1k,Mainline,Long
990,IAX,FRX,4.0,Satisfied,40,,B777-300,90+,global services,Mainline,Long
933,IAX,FRX,1.0,Dissatisfied,8,Economy,B777-200,90+,non-elite,Mainline,Long
933,IAX,FRX,,Unknown,8,Economy,B777-200,90+,non-elite,Mainline,Long
990,IAX,FRX,,Unknown,40,Economy Plus,B777-300,90+,non-elite,Mainline,Long
989,FRX,IAX,3.0,Dissatisfied,-28,Economy Plus,B777-300,0 to 70,premier 1k,Mainline,Long
990,IAX,FRX,,Unknown,40,,B777-300,90+,global services,Mainline,Long
934,FRX,IAX,,Unknown,-16,Economy,B777-200,70+,non-elite,Mainline,Long
934,FRX,IAX,2.0,Dissatisfied,-16,Economy,B777-200,70+,non-elite,Mainline,Long
990,IAX,FRX,1.0,Dissatisfied,40,Economy Plus,B777-300,90+,non-elite,Mainline,Long
933,IAX,FRX,1.0,Dissatisfied,8,Economy Plus,B777-200,90+,premier gold,Mainline,Long
909,AMX,ORX,4.0,Satisfied,1,Economy,B787-8,80+,non-elite,Mainline,Long
910,ORX,AMX,1.0,Dissatisfied,-14,,B787-8,90+,non-elite,Mainline,Long
910,ORX,AMX,3.0,Dissatisfied,-14,Economy,B787-8,90+,,Mainline,Long
910,ORX,AMX,,Unknown,-14,,B787-8,90+,non-elite,Mainline,Long
988,ORX,CDX,4.0,Satisfied,9,Economy,B787-9,90+,,Mainline,Long
988,ORX,CDX,,Unknown,9,,B787-9,90+,premier gold,Mainline,Long
988,ORX,CDX,,Unknown,9,,B787-9,90+,non-elite,Mainline,Long
987,CDX,ORX,5.0,Satisfied,3,Economy,B787-9,80+,non-elite,Mainline,Long
988,ORX,CDX,1.0,Dissatisfied,9,,B787-9,90+,premier gold,Mainline,Long
988,ORX,CDX,5.0,Satisfied,9,,B787-9,90+,non-elite,Mainline,Long
988,ORX,CDX,4.0,Satisfied,9,,B787-9,90+,non-elite,Mainline,Long
987,CDX,ORX,4.0,Satisfied,3,Economy,B787-9,80+,,Mainline,Long
53,IAX,ZRX,,Unknown,30,Economy Plus,B767-300,90+,non-elite,Mainline,Long
53,IAX,ZRX,2.0,Dissatisfied,30,Economy Plus,B767-300,90+,non-elite,Mainline,Long
53,IAX,ZRX,2.0,Dissatisfied,30,,B767-300,90+,non-elite,Mainline,Long
53,IAX,ZRX,,Unknown,30,,B767-300,90+,non-elite,Mainline,Long
54,ZRX,IAX,2.0,Dissatisfied,-37,Economy Plus,B767-300,90+,,Mainline,Long
54,ZRX,IAX,,Unknown,-37,Economy Plus,B767-300,90+,,Mainline,Long
973,ORX,BRX,4.0,Satisfied,-13,Economy,B787-10,90+,,Mainline,Long
973,ORX,BRX,2.0,Dissatisfied,-13,Economy,B787-10,90+,,Mainline,Long
973,ORX,BRX,1.0,Dissatisfied,-13,,B787-10,90+,non-elite,Mainline,Long
973,ORX,BRX,,Unknown,-13,Economy,B787-10,90+,,Mainline,Long
170,VCX,EWX,2.0,Dissatisfied,-29,,B767-300,0 to 70,premier gold,Mainline,Long
170,VCX,EWX,,Unknown,-29,,B767-300,0 to 70,premier gold,Mainline,Long
349,OGX,ORX,,Unknown,-5,,B787-8,90+,non-elite,Mainline,Long
203,ORX,OGX,,Unknown,-4,Economy,B787-8,90+,,Mainline,Long
349,OGX,ORX,2.0,Dissatisfied,-5,,B787-8,90+,non-elite,Mainline,Long
349,OGX,ORX,1.0,Dissatisfied,-5,Economy,B787-8,90+,non-elite,Mainline,Long
349,OGX,ORX,,Unknown,-5,Economy,B787-8,90+,non-elite,Mainline,Long
203,ORX,OGX,3.0,Dissatisfied,-4,Economy,B787-8,90+,,Mainline,Long
115,PPX,SFX,2.0,Dissatisfied,-9,,B787-9,90+,premier platinum,Mainline,Long
116,SFX,PPX,2.0,Dissatisfied,-6,Economy,B787-9,0 to 70,,Mainline,Long
116,SFX,PPX,,Unknown,-6,Economy,B787-9,0 to 70,,Mainline,Long
115,PPX,SFX,,Unknown,-9,,B787-9,90+,premier platinum,Mainline,Long
116,SFX,PPX,4.0,Satisfied,-6,Economy Plus,B787-9,0 to 70,non-elite,Mainline,Long
219,HNX,ORX,,Unknown,-39,Economy,B787-10,90+,premier silver,Mainline,Long
220,ORX,HNX,5.0,Satisfied,-16,,B787-10,80+,premier gold,Mainline,Long
219,HNX,ORX,,Unknown,-39,Economy,B787-10,90+,,Mainline,Long
219,HNX,ORX,,Unknown,-39,,B787-10,90+,non-elite,Mainline,Long
219,HNX,ORX,1.0,Dissatisfied,-39,Economy,B787-10,90+,,Mainline,Long
219,HNX,ORX,2.0,Dissatisfied,-39,,B787-10,90+,non-elite,Mainline,Long
220,ORX,HNX,,Unknown,-16,,B787-10,80+,premier gold,Mainline,Long
219,HNX,ORX,1.0,Dissatisfied,-39,Economy Plus,B787-10,90+,non-elite,Mainline,Long
219,HNX,ORX,4.0,Satisfied,-39,Economy,B787-10,90+,premier silver,Mainline,Long
219,HNX,ORX,,Unknown,-39,Economy Plus,B787-10,90+,non-elite,Mainline,Long
107,IAX,MUX,,Unknown,31,,B777-200,90+,,Mainline,Long
107,IAX,MUX,2.0,Dissatisfied,31,Economy,B777-200,90+,non-elite,Mainline,Long
107,IAX,MUX,2.0,Dissatisfied,31,,B777-200,90+,,Mainline,Long
41,EWX,FCX,2.0,Dissatisfied,22,,B777-300,90+,non-elite,Mainline,Long
510,FCX,EWX,,Unknown,0,,B777-200,70+,non-elite,Mainline,Long
41,EWX,FCX,,Unknown,22,,B777-300,90+,non-elite,Mainline,Long
511,EWX,FCX,1.0,Dissatisfied,17,,B777-200,90+,non-elite,Mainline,Long
511,EWX,FCX,,Unknown,17,,B777-200,90+,non-elite,Mainline,Long
42,FCX,EWX,2.0,Dissatisfied,-22,,B777-300,80+,non-elite,Mainline,Long
511,EWX,FCX,1.0,Dissatisfied,17,Economy Plus,B777-200,90+,premier gold,Mainline,Long
42,FCX,EWX,,Unknown,-22,,B777-300,80+,non-elite,Mainline,Long
511,EWX,FCX,,Unknown,17,Economy Plus,B777-200,90+,premier gold,Mainline,Long
510,FCX,EWX,4.0,Satisfied,0,,B777-200,70+,non-elite,Mainline,Long
907,FRX,ORX,5.0,Satisfied,-57,Economy,B787-10,0 to 70,non-elite,Mainline,Long
908,ORX,FRX,2.0,Dissatisfied,19,Economy,B787-10,90+,non-elite,Mainline,Long
908,ORX,FRX,2.0,Dissatisfied,19,Economy,B787-10,90+,,Mainline,Long
908,ORX,FRX,,Unknown,19,Economy,B787-10,90+,,Mainline,Long
908,ORX,FRX,1.0,Dissatisfied,19,Economy,B787-10,90+,non-elite,Mainline,Long
907,FRX,ORX,5.0,Satisfied,-57,Economy Plus,B787-10,0 to 70,non-elite,Mainline,Long
908,ORX,FRX,,Unknown,19,Economy,B787-10,90+,non-elite,Mainline,Long
908,ORX,FRX,2.0,Dissatisfied,19,Economy,B787-10,90+,,Mainline,Long
965,EWX,NAX,5.0,Satisfied,-14,Economy Plus,B767-300,90+,non-elite,Mainline,Long
965,EWX,NAX,,Unknown,-14,Economy Plus,B767-300,90+,non-elite,Mainline,Long
965,EWX,NAX,,Unknown,-14,Economy,B767-300,90+,non-elite,Mainline,Long
965,EWX,NAX,2.0,Dissatisfied,-14,Economy Plus,B767-300,90+,premier gold,Mainline,Long
965,EWX,NAX,3.0,Dissatisfied,-14,Economy,B767-300,90+,non-elite,Mainline,Long
965,EWX,NAX,,Unknown,-14,Economy Plus,B767-300,90+,premier gold,Mainline,Long
13,ZRX,ORX,,Unknown,-48,,B767-300,80+,non-elite,Mainline,Long
13,ZRX,ORX,,Unknown,-48,,B767-300,80+,,Mainline,Long
13,ZRX,ORX,2.0,Dissatisfied,-48,,B767-300,80+,,Mainline,Long
13,ZRX,ORX,2.0,Dissatisfied,-48,,B767-300,80+,non-elite,Mainline,Long
885,IAX,FCX,3.0,Dissatisfied,23,Economy,B787-8,90+,non-elite,Mainline,Long
885,IAX,FCX,,Unknown,23,Economy,B787-8,90+,non-elite,Mainline,Long
885,IAX,FCX,2.0,Dissatisfied,23,Economy,B787-8,90+,non-elite,Mainline,Long
885,IAX,FCX,1.0,Dissatisfied,23,Economy,B787-8,90+,,Mainline,Long
886,FCX,IAX,3.0,Dissatisfied,-5,Economy,B787-8,0 to 70,premier gold,Mainline,Long
885,IAX,FCX,,Unknown,23,Economy,B787-8,90+,non-elite,Mainline,Long
417,ORX,MXX,2.0,Dissatisfied,-1,Economy,B787-8,90+,,Mainline,Long
416,MXX,ORX,,Unknown,-30,,B787-9,70+,global services,Mainline,Long
417,ORX,MXX,,Unknown,-1,Economy,B787-8,90+,,Mainline,Long
416,MXX,ORX,,Unknown,-30,,B787-9,70+,non-elite,Mainline,Long
416,MXX,ORX,1.0,Dissatisfied,-30,,B787-9,70+,global services,Mainline,Long
417,ORX,MXX,1.0,Dissatisfied,-1,Economy Plus,B787-8,90+,,Mainline,Long
416,MXX,ORX,1.0,Dissatisfied,-30,,B787-9,70+,non-elite,Mainline,Long
416,MXX,ORX,3.0,Dissatisfied,-30,Economy,B787-9,70+,non-elite,Mainline,Long
417,ORX,MXX,,Unknown,-1,Economy Plus,B787-8,90+,,Mainline,Long
386,EWX,DBX,,Unknown,-12,Economy Plus,B767-300,90+,non-elite,Mainline,Long
386,EWX,DBX,1.0,Dissatisfied,-12,Economy Plus,B767-300,90+,non-elite,Mainline,Long
386,EWX,DBX,4.0,Satisfied,-12,Economy,B767-300,90+,non-elite,Mainline,Long
386,EWX,DBX,,Unknown,-12,Economy,B767-300,90+,non-elite,Mainline,Long
953,MUX,ORX,,Unknown,19,Economy Plus,B787-10,0 to 70,,Mainline,Long
954,ORX,MUX,2.0,Dissatisfied,9,Economy,B787-10,90+,non-elite,Mainline,Long
953,MUX,ORX,4.0,Satisfied,19,Economy Plus,B787-10,0 to 70,,Mainline,Long
954,ORX,MUX,,Unknown,9,Economy,B787-10,90+,,Mainline,Long
954,ORX,MUX,3.0,Dissatisfied,9,Economy,B787-10,90+,,Mainline,Long
27,LHX,DEX,,Unknown,-7,Economy,B787-9,0 to 70,non-elite,Mainline,Long
27,LHX,DEX,1.0,Dissatisfied,-7,,B787-9,0 to 70,premier silver,Mainline,Long
264,LHX,DEX,,Unknown,0,,B787-9,0 to 70,premier gold,Mainline,Long
264,LHX,DEX,1.0,Dissatisfied,0,,B787-9,0 to 70,premier gold,Mainline,Long
27,LHX,DEX,1.0,Dissatisfied,-7,,B787-9,0 to 70,premier platinum,Mainline,Long
264,LHX,DEX,,Unknown,0,,B787-9,0 to 70,premier 1k,Mainline,Long
264,LHX,DEX,,Unknown,0,,B787-9,0 to 70,non-elite,Mainline,Long
264,LHX,DEX,1.0,Dissatisfied,0,,B787-9,0 to 70,premier 1k,Mainline,Long
27,LHX,DEX,,Unknown,-7,,B787-9,0 to 70,premier silver,Mainline,Long
28,DEX,LHX,4.0,Satisfied,-8,,B787-9,90+,premier silver,Mainline,Long
27,LHX,DEX,2.0,Dissatisfied,-7,Economy,B787-9,0 to 70,non-elite,Mainline,Long
264,LHX,DEX,,Unknown,0,,B787-9,0 to 70,,Mainline,Long
27,LHX,DEX,,Unknown,-7,,B787-9,0 to 70,premier platinum,Mainline,Long
28,DEX,LHX,,Unknown,-8,,B787-9,90+,premier silver,Mainline,Long
264,LHX,DEX,1.0,Dissatisfied,0,,B787-9,0 to 70,,Mainline,Long
264,LHX,DEX,1.0,Dissatisfied,0,,B787-9,0 to 70,non-elite,Mainline,Long
264,LHX,DEX,3.0,Dissatisfied,0,,B787-9,0 to 70,premier platinum,Mainline,Long
150,EWX,GRX,3.0,Dissatisfied,45,Economy Plus,B777-200,90+,premier gold,Mainline,Long
