flight_number,origin_station_code,destination_station_code,scheduled_departure_date,verbatim_text,sentiments
1800,MIX,EWX,2022-09-27,no.,Neutral
2027,MTX,IAX,2022-09-24,At least some snacks.,Neutral
2423,IAX,CHX,2022-09-28,No short flight.,Neutral
417,ORX,MXX,2022-09-28,food is too different to Italian food. we do not like sausage used whit meat.,Neutral
1536,MSX,DEX,2022-09-27,Pretzels were not available.,Neutral
66,LIX,EWX,2022-09-28,My wife is Vegan and was not sure that everything in the meal was prepared without animal products.,Neutral
5541,MTX,ORX,2022-09-28,Was essentially a snack box opened and put on a tray. Rather disappointing.,Neutral
2631,SFX,PHX,2022-09-28,No.,Neutral
5194,VCX,IAX,2022-09-28,No.,Neutral
262,AUX,IAX,2022-09-29,Again nice they did water service on a 40 minute flight.,Neutral
1750,SFX,OGX,2022-09-29,"I am consistently frustrated with United's receipt delivery for on board purchases. See email from 9/9 (for which I have received no response):. For the better part of this year, I have struggled to get necessary receipts for inflight purchases. Where United used to simply email a receipt. now I receive emails like the attached, instructing me to click a link, enter information, only to be told “We could not find your receipt” (see screenshot below). I then have to call customer service, go through your ridiculous phone tree to get to a representative who then has to take a bunch of information and finally email my receipt. I do not get it. United emails my flight reservation receipts within minutes of clicking purchase. Why can not you do the same for inflight purchases like you used to?. Why make your customers go through so much trouble?. Why over tax what your customer service representatives with customer service issues like this?. I, like many, need these receipts for my business expense reports. They are important and need to be delivered to customers in a timely (same day) manner. I can not be the only one having this issue. I call every time and complain. the system does not improve. You need to do better.",Neutral
909,AMX,ORX,2022-09-29,no.,Neutral
253,HNX,IAX,2022-09-29,I would have like to know in advance that the meal was a cold meal and not heated. if I had known this I would have ordered a hot meal ahead.,Neutral
253,HNX,IAX,2022-09-29,Getting tired of chicken katsu.,Neutral
54,ZRX,IAX,2022-09-28,The bacon cheeseburger second meal was not the usual excellent food that is served.,Neutral
264,LHX,DEX,2022-09-29,The service was good. food was ok.,Neutral
264,LHX,DEX,2022-09-29,"You do not offer any Canadian Blended Bourbons, only straight bourbon such as Buffalo Trace. I would prefer Crown Royal, Seagram's VO or Canadian Club. Most other Air Lines have one of these.",Neutral
2038,EWX,ATX,2022-09-29,I love my drop off point very quick and efficient.,Neutral
528,XPX,IAX,2022-09-29,All the very friendly staff offered her a snack and drink.,Neutral
2474,LAX,EWX,2022-09-28,I would have liked a decaf/ herbal tea selection esp on a red eye flight!.,Neutral
2276,IAX,IAX,2022-09-30,Keep up the good work.,Neutral
1915,MCX,IAX,2022-09-30,"Like I said, because of the switch from Lufthansa to United without sharing the passenger data and without letting me know (I asked to be informed by text message, since I had restricted access to e-mail, but I rarely received any information, not even when the airport was closed one day), I could not order my special meal/diet/vegetarian food.",Neutral
4476,RIX,EWX,2022-09-29,The flight was less than an hour. Services were provided if you wanted something. I did not want or need anything.,Neutral
856,LIX,IAX,2022-09-01,all very good.,Neutral
481,BWX,IAX,2022-09-01,N/A.,Neutral
1698,ORX,MCX,2022-09-01,Limited service with few choices.,Neutral
785,SBX,SFX,2022-09-01,Excellent.,Neutral
3432,BNX,EWX,2022-09-02,No.,Neutral
234,DEX,SFX,2022-09-02,I was not offered the strop waffle. which is sad since I love them.,Neutral
349,OGX,ORX,2022-09-03,Domestic food was not so great.,Neutral
255,BOX,EWX,2022-09-02,There was no food served on the flight to Boston.,Neutral
1831,EWX,LAX,2022-09-03,I pre-ordered and presumed it would be delivered automatically. I had to ask flight attendant for it.,Neutral
317,DUX,EWX,2022-09-03,"In business class. The initial meal main dish was fine/quite good, though not accompanied by the usual quality of condiments, and additional side dishes. Limited snack options between meals (none really). Second meal prior to landing was the worst cheeseburger I have ever eaten. You can do better on that.",Neutral
1919,LIX,DEX,2022-09-03,Excellent service.,Neutral
42,FCX,EWX,2022-09-04,For such a long flight the availability of water to stay hydrated was so limited. The food was way too salty.,Neutral
42,FCX,EWX,2022-09-04,bread roll served cold.,Neutral
42,FCX,EWX,2022-09-04,"I am not sure that a Thai curry chicken option was the most universal of choices. I was not interested in the vegetarian lasagna, but maybe a more simple chicken choice would be better (chicken Parmesan for an Italian flight?).",Neutral
42,FCX,EWX,2022-09-04,Other than portion size— all good.,Negative
42,FCX,EWX,2022-09-04,My daughter and I were sitting in seat 55 and they ran out of vegetarian options for her by the time they got to us I feel like they should ask you before the flight so they can plan better for vegetarians. After we all ate later in the flight I went back and asked if they had anything she could eat. The sweet flight attendant fouls a staff meal for her that was left over if all the staff hand eaten their meals their meals she would not have eaten.,Neutral
1415,JAX,DEX,2022-09-04,nothing offered except drinks.,Neutral
970,AMX,SFX,2022-09-03,There was a choice of main dish that was new. I did not know what some of the ingredients listed were. I have to avoid the nightshade family and could not tell whether there was any in it.,Neutral
408,TPX,ORX,2022-09-05,No.,Neutral
730,PDX,SFX,2022-09-05,Only water was offered.,Neutral
759,CLX,IAX,2022-09-05,I did not order any food because the options was slim.,Neutral
390,EWX,DEX,2022-09-06,"The complimentary pretzel snack should contain more pretzels. For a 3+ hour flight, I expect a larger snack portion.",Neutral
707,OGX,LAX,2022-09-06,"If I am in first class in the middle of the rows, the food options should not run out by then. The food really…it was hitting a very low bar for quality.",Neutral
1688,MSX,SFX,2022-09-06,Just a big fan of the vegetarian entrees in general and the meatball/couscous one in particular. I want to cook a version of this at home!.,Neutral
4,ORX,ZRX,2022-09-06,"The white wine was spoiled. I drinkable. Also only one alcoholic beverage was allowed. Considering the price of fares, at least one before dinner and one with the meal should be offered,.",Neutral
4186,STX,ORX,2022-09-07,Just open cups of water are not really good in my opinion.,Neutral
381,ORX,PDX,2022-09-07,I preordered the falafel meal option online. Flight attendant informed me that they change the option and apologized.,Neutral
1484,LAX,SFX,2022-09-07,Not much it is a short flight.,Neutral
1914,DFX,IAX,2022-09-06,The food box can be improved. It is was not the best for me.,Neutral
3604,EWX,YYX,2022-09-07,Flight was very bumpy so only offered water.,Neutral
5240,MAX,IAX,2022-09-07,not even a simple snack was offered.,Neutral
4694,LAX,RDX,2022-09-07,Not a fan of contactless ordering.,Neutral
1765,SFX,IAX,2022-09-07,N/A.,Neutral
2312,ORX,MSX,2022-09-08,"I miss the snacks, but my waistline does not. <:-D>.",Neutral
92,TLX,EWX,2022-09-07,My husband did not get his kosher meal. I did. we were listed on the same itinerary.,Neutral
2013,SFX,EWX,2022-09-08,"My main issue is that on a 5 hour long flight in economy I feel you should get a main meal as part of the fare. You do, say, in Australia. I feel its penny pinching to not to this. However on one of my flights I ordered the taco box and it was nice.",Neutral
509,BOX,IAX,2022-09-08,Could be better like a sandwich at least for a long flight like that.,Neutral
510,FCX,EWX,2022-09-09,"We have a problem on planet Earth with too much plastic use, manufacture & pollution. I feel you are NOT doing anything to reduce plastic use. Every drink is served in a plastic cup and discarded. And what about all of those small 6-7 oz. plastic bottles. Please use biodegradable bamboo or paper cups and large refillable containers of water for distribution into cups. Thank you.",Neutral
2137,BOX,IAX,2022-09-08,No.,Neutral
1894,IAX,SFX,2022-09-09,Not many options for snacks.,Neutral
64,GRX,IAX,2022-09-09,Bring back separate dessert in economy - the mini ice creams.,Neutral
1018,CUX,IAX,2022-09-07,Not right now.,Neutral
2642,SAX,EWX,2022-09-10,the flight attendants do the best they can so i commend them on both flights we were delayed going out 5 hrs due to storm they should have offered light drinks and snacks after 2 hours.,Neutral
2010,IAX,PIX,2022-09-10,I was surprised at the quantity and quality of the takeoff food box.,Neutral
4483,STX,EWX,2022-09-10,I am allergic to peanuts and all tree nuts. You should have a meal option for that.,Neutral
3551,MEX,EWX,2022-09-09,We were first class. there was not a hot meal offered which was disappointing.,Neutral
1225,LAX,HNX,2022-09-10,Meal was piping hot.,Neutral
3846,CAX,ORX,2022-09-08,no.,Neutral
1036,IAX,UIX,2022-09-11,No.,Neutral
1193,IAX,SJX,2022-09-11,No sabia si era gratis o había q pagarla.,Neutral
1162,EWX,PVX,2022-09-10,It was airplane food. LOL.,Neutral
4353,IAX,STX,2022-09-12,Bring back snack boxes.,Neutral
2343,DEX,MFX,2022-09-12,It was great.,Neutral
1544,SEX,DEX,2022-09-12,Not at this time.,Neutral
864,SFX,SYX,2022-09-12,The oatmeal breakfast option is especially good.,Neutral
5135,ORX,CMX,2022-09-11,It is confusing on how you are supposed to order food and beverage if wishing to purchase. As for the complimentary it would be nice if they had a card so you know ahead of time with the flight attendants have to offer they only have so much time and they have a lot of people to serve so it would be easier than having to ask or them having to list everything. It would also be nice to have a bigger variety of snack options offered not everyone can eat cookies and pretzels.,Neutral
936,LHX,LAX,2022-09-13,"most of it was fairly bland, on the flight over from LAX to London, not as i recall offered any options, as i was in the back of the plane, may have run out of what i would have liked more than what i had.",Neutral
2281,LAX,BOX,2022-09-12,Very limited vegetarian options No alcohol free beer.,Neutral
1869,YVX,ORX,2022-09-13,"4 hour flight, one drink?. I think we should get 2.",Neutral
1869,YVX,ORX,2022-09-13,United needs to improve the meals that is served.,Neutral
2457,LAX,EWX,2022-09-13,It is always a little uncertain if you can get a coffee or snack.,Neutral
2383,IAX,PHX,2022-09-12,I enjoyed the food. the chicken entree was really too salty.,Neutral
1876,FLX,EWX,2022-09-14,Nope.,Neutral
1154,RDX,EWX,2022-09-14,No.,Neutral
3615,SAX,ORX,2022-09-13,Would like enjoy a refill.,Neutral
1947,IAX,IAX,2022-09-14,"In general terms and for airplane food and drinks it is acceptable, but in the case of snacks it is very little and without variety...",Neutral
5573,ORX,ALX,2022-09-14,"It would have been nice if a snack or snacks were offered, e.g., pretzels, cookies, nuts.",Neutral
5533,ORX,SGX,2022-09-13,No.,Neutral
2229,PNX,IAX,2022-09-14,I wish the flight offer snack like the other airline does.,Neutral
2386,SFX,SEX,2022-09-15,Add a fresh non-dairy creamer as an option for the coffee.,Neutral
5246,ABX,ORX,2022-09-13,I was unable to make any purchases since I could not get the app.,Neutral
1444,DTX,IAX,2022-09-14,Seemed to be the same two options in First that I have had in the past.,Neutral
5609,IAX,SLX,2022-09-15,No.,Neutral
2670,SFX,SAX,2022-09-16,was only water offered.,Neutral
3478,EWX,SAX,2022-09-16,A small snack would have been nice.,Neutral
1954,EWX,BOX,2022-09-15,"This was a short flight so there was not a real beverage service, but I did appreciate that they came around with water/juice since sometimes air travel gets very dry, or you anticipate something to drink on board, so the fact they were able to do this on the short flight was appreciated.",Neutral
1467,PLX,EWX,2022-09-17,"For the flight from Newark to Providenciales there were only snacks, meals or more elaborated snacks would have been nice.",Neutral
1951,KOX,SFX,2022-09-17,My salad shaker was served to me frozen...,Neutral
2290,ORX,PDX,2022-09-17,The fruit had no taste. you do not offer bread or pastries like other airlines.,Neutral
656,DEX,LAX,2022-09-17,"only received a survey for the final leg of my trip, the dinner I had on the previous section was overall good but the main dish (chicken something), the chicken was quite dry and the dish itself was not particularly good. I did not finish it. I am not a picky eater and hate wasting food.",Neutral
1501,SEX,IAX,2022-09-17,the chicken salad shakeup was a pleasant surprise.,Neutral
715,PWX,ORX,2022-09-16,None.,Neutral
5072,SUX,ORX,2022-09-18,The flight attendant forgot me.,Neutral
26,LHX,BOX,2022-09-17,"I have an allergy to onions. In the past trip to Europe, I was given options.",Neutral
26,LHX,BOX,2022-09-17,"You ran out of the pasta dish very quickly. I was not happy about it. When people order the tickets online, take a survey with the different dinner options and let them choose which one they want to have.",Neutral
940,LHX,SFX,2022-09-18,"The flight attendant did not offer much explanation of the choices. She just said ""chicken or pasta"". I normally prefer chicken, but would have appreciated a little more description like ""butter chicken"" or ""chicken curry"". (I am not sure what exactly it was, even after receiving it.).",Neutral
940,LHX,SFX,2022-09-18,"We felt the dinners provided were very good. We went out to dinner. my husband had the same meal as on the plane. He felt the plane meal was much better,.",Neutral
739,CMX,DEX,2022-09-18,The breakfast was pretty good we also had yogurt with the breakfast and fresh fruit. The fruit was very good nice and fresh!.,Neutral
2058,YVX,IAX,2022-09-18,"Tried to buy more snack options, but lots of items listed were not available on that particular plane, and the ones that were were out of stock.",Neutral
5635,LAX,ASX,2022-09-18,Tomato juice is my choice.,Neutral
3515,PWX,EWX,2022-09-18,Should have provided at least a bottle of water.,Negative
1226,DEX,PDX,2022-09-18,"pretty meager offerings, out of beverage choices.",Neutral
759,RAX,ORX,2022-09-19,All good.,Neutral
1046,DEX,IAX,2022-09-20,Online pre-order info to the attendants was confusing or not available.,Neutral
1899,DEX,ORX,2022-09-19,na.,Neutral
1796,DEX,CLX,2022-09-19,The chicken dish is good but seems to be served almost all the time on the cross-country flights I take. It is getting tiresome and it is time for some additional options.,Neutral
1642,IAX,SFX,2022-09-19,Please add herbal teas to selection of beverages.,Neutral
510,FCX,EWX,2022-09-19,No.,Neutral
1431,OGX,DEX,2022-09-19,It was a late flight leaving Maui and by time we got our food it was very late.,Neutral
2092,SFX,SBX,2022-09-19,No Chardonnay!!!. Gotta have Pinot Grigio or Chardonnay.,Neutral
405,DEX,IAX,2022-09-20,No.,Neutral
405,DEX,IAX,2022-09-20,"United needs to change up their snack offering, 2 choices are fine. You should try to make your snacks more exciting.",Neutral
4754,BOX,SFX,2022-09-19,"In First Class, please return to the practice of offering a drink (any drink) before takeoff. Typically no drink is offered other than a glass of water.",Neutral
405,DEX,IAX,2022-09-21,I did not see ahead of time what was available for purchase on the flight.,Neutral
856,LIX,IAX,2022-09-21,There is not cofee on the morning!!!.,Neutral
2272,ANX,ORX,2022-09-19,The flight was long. The ticket very expensive. So to have to purchase food other than the cookies was a lot.,Neutral
1528,SEX,ORX,2022-09-22,Would have liked a second beverage service like they did on the flight from Chicago to Seattle.,Negative
2437,MSX,IAX,2022-09-22,Not really due to short trip.,Neutral
4659,CPX,DEX,2022-09-21,Its a short flight and usually has turbulence. But offering instead of expecting passengers to ask is always better.,Neutral
1696,MCX,IAX,2022-09-19,Know.,Neutral
3705,ORX,GRX,2022-09-23,None-too short a flight.,Neutral
2078,EWX,STX,2022-09-24,More options.,Neutral
3458,JAX,EWX,2022-09-24,"First class meal was stated on the United booking site as Dinner. Pre-packaged cheese, little bags with nuts, fruit, dry cookie were not a dinner. There was no other choice.",Neutral
433,ATX,IAX,2022-09-24,Not.,Negative
940,LHX,SFX,2022-09-24,You really need to provide gluten free/coeliac/wheat allergy/intolerance meal options. These are really not uncommon.,Neutral
19,MXX,EWX,2022-09-24,The Cheese Burger on arrival was slightly scary - very dry. had some strange bacon pieces on top the ketchup and mustard helped the partial coonsumption.,Neutral
19,MXX,EWX,2022-09-24,I loved the Thai green curry chicken that we were served for lunch!.,Neutral
19,MXX,EWX,2022-09-24,No everything was just fine. It was the outgoing flight where we had the problem.,Neutral
1489,IAX,BTX,2022-09-24,No.,Neutral
5377,DEX,DRX,2022-09-24,Would have liked a diet 7up or Sprite. Thank you for recycling cans!.,Neutral
1947,IAX,IAX,2022-09-25,Would have liked a selection of snacks. Only had pretzels and the bag was tiny.,Neutral
1947,IAX,IAX,2022-09-25,N/A.,Neutral
653,BWX,IAX,2022-09-25,My entree was way too spicy. I noticed the gentleman next to me did not eat his either. Considering the meatballs were meatless there was not much to choose from. Would like to be able to have some choice of condiments.,Neutral
4408,EWX,PQX,2022-09-25,none.,Neutral
1907,LGX,ORX,2022-09-25,There was no free snack offered. It is usually a small item. on this flight there was nothing given out.,Neutral
189,EWX,JNX,2022-09-26,Water could be offered more often on long flights.,Neutral
940,LHX,SFX,2022-09-26,"Food options better on London to SF than from SF to London. Ice cream - would have liked choice of flavors, but it was much better than the frozen icecream I had on my outbound flight.",Neutral
940,LHX,SFX,2022-09-26,Middle snack was a lump of cheese and some crackers but no knife or easy way to cut.,Neutral
1530,SFX,SAX,2022-09-25,No.,Neutral
2669,MEX,IAX,2022-09-26,No.,Neutral
1798,IAX,YVX,2022-09-26,No.,Neutral
452,DEX,ORX,2022-09-27,"All was great.. prefer Merlot, but any Red is better than no red..",Neutral
448,SFX,SEX,2022-09-27,more choice.,Neutral
441,DEX,LAX,2022-09-27,Brioche burger was oily and greasy.,Neutral
2189,DEX,FLX,2022-09-27,I would like to have a Sauvignon Blanc option for wine!.,Neutral
334,BOX,LAX,2022-09-26,Too many plastic bags for all the food. Quite uncomfortable to consume with all the little bags to open and dispose etc. Not very friendly to the environment. Maybe consider a cardboard/paper tray with all the selections and a single plastic wrap?.,Neutral
4754,BOX,SFX,2022-09-27,Would be nice to see an upgrade to the white wine. Barely a step up from the limited airline selection.,Neutral
66,LIX,EWX,2022-09-27,The snack was a hot Turkey & cheese sandwich - it was fine. The food on way to Paris was awful.,Neutral
66,LIX,EWX,2022-09-27,This is the first time that the food (in 1st class) was not particularly tasty. Surprised by that.,Neutral
2013,SFX,EWX,2022-09-28,The flight attendants were great.,Neutral
5103,JMX,DEX,2022-09-28,A free snack should be provided with the beverage.,Neutral
3492,EWX,CLX,2022-09-28,Not sure why but there were no pretzels or small free snacks.,Neutral
5750,DRX,DEX,2022-09-27,The fish I had was terrific.,Neutral
1736,LAX,EWX,2022-09-29,Be nice if you changed up the snacks every once in a while.,Neutral
136,ZRX,EWX,2022-09-29,My food could have been hotter for lunch. The afternoon beef burger was perfect and really tastey!.,Neutral
136,ZRX,EWX,2022-09-29,I do think presentation could be a bit better. I liked that there were 4 options. Salads were a bit sad looking. A better dessert for lunch before landing would be nice. Even a piece of chocolate- pre wrapped muffin was not good and just looked cheap on the plate.,Neutral
5373,IAX,SDX,2022-09-30,The beers are most often not very cold.,Neutral
4286,DEX,COX,2022-09-28,The best part of the service was the hostesses cheerfulness as she served.,Neutral
997,IAX,ACX,2022-09-30,The taste looks different.,Neutral
1040,AUX,EWX,2022-09-30,Service was great. The food was terrible.,Neutral
5651,STX,ORX,2022-09-30,"They said to short of a flight, still should have offered beverages.",Neutral
1232,EWX,DEX,2022-09-29,Wish there were specified gluten free options.,Neutral
2293,ORX,BTX,2022-09-01,Has United discontinued it is free snacks with the beverages?. I was expecting that. nothing was offered.,Neutral
2360,IAX,BDX,2022-09-01,No.,Neutral
2075,IAX,DEX,2022-09-01,Everything was excellent.,Neutral
3548,EWX,INX,2022-09-01,Well done.,Neutral
4797,LAX,SBX,2022-09-01,"No IPA, alright. Moved to spirits. Piece of dental floss, used, in tiny crevice below drink tray. Removed with alcohol swipey. /cs.",Neutral
188,JNX,EWX,2022-09-01,Very basic and somewhat boring.,Neutral
188,JNX,EWX,2022-09-01,There was no menu. I asked the attendants about the food and they did not have answers. Can you bring the menus back?. I have food allergies. I like to read the offering so I can choose appropriately. Thanks.,Neutral
253,HNX,IAX,2022-09-01,None.,Neutral
4802,DEX,OKX,2022-09-01,Nothing.,Neutral
2233,IAX,FLX,2022-09-02,Can we bring Tito's back?.,Neutral
5322,ORX,GSX,2022-09-02,Got no snacks.,Neutral
5794,SJX,DEX,2022-09-02,You need to find something other than those snack boxes. They have run their course.,Neutral
5467,BOX,SFX,2022-09-02,"Noticed that flight attendant only offered 1 glass of beverage choice to each person she served, then poured all the opened partial cans together to dispose of additional liquid into an empty water container. It seems more logical to offer each party served the beverage can after it has been opened and served to limit so much waste.",Neutral
2478,EWX,SMX,2022-09-02,"My problem here was I was never notified to pre-order my meal. I tried several times to log on and I got on the app to pre-order, but could not get it. Our first flight I received an email with a link. Return flight, never received anything. So by the time we were on the plane there was only 2 options left, neither was very exciting. Thank you for listening.",Neutral
1573,DEX,EWX,2022-09-03,Need a larger selection of bourbon.,Neutral
1573,DEX,EWX,2022-09-03,No.,Neutral
1573,DEX,EWX,2022-09-03,The chicken dish which I had on my flight to Denver was too spicy. the other choices were inadequate.,Neutral
1780,EWX,RSX,2022-09-03,"I got instant coffee when I asked for decaf. If I had known that, I would have gotten something else. Also, the cookies were delicious but it was a small package.",Neutral
1780,EWX,RSX,2022-09-03,I slept. My issues were with the international leg.,Neutral
311,BWX,SFX,2022-09-02,Allow more than one drink per person at a time. This is the only airline I know of that does this.,Neutral
5468,IAX,TUX,2022-09-02,"Could have served on a 2 hrs plus flight that was delayed by 2.30 hrs,.",Neutral
441,DEX,LAX,2022-09-03,Taste is good.,Neutral
1538,ORX,DEX,2022-09-01,I would Like the entire bottle of water and not just a tiny cup.,Negative
2391,ORX,ANX,2022-09-03,For a 6.5 hour flight it would be nice if there was other smaller snack options that followed the main meal service. Once we were served the breakfast that was it for snacks or food whereas some other airlines come around again with a snack basket or toasted nuts etc.,Negative
1542,LAX,IAX,2022-09-02,No. I had water.,Neutral
914,KEX,ORX,2022-09-03,"If you are going to send out an email saying you can pre-order food five days to 1 day before departure, make it available. every time I looked it was unavailable. So it was like a bad joke.",Neutral
216,ABX,DEX,2022-09-04,only offered water - 57 minute flight.,Neutral
216,ABX,DEX,2022-09-04,A few healthier snacks.,Neutral
1430,IAX,EWX,2022-09-04,Too expensive. How about fruit or sandwich or something.,Neutral
23,DUX,EWX,2022-09-03,The breakfast options and the overall presentation for a business class ticket at this price were completely unacceptable. You can do better!.,Neutral
23,DUX,EWX,2022-09-03,Coffee cold.,Neutral
1173,BOX,SFX,2022-09-04,Is it not possible to offer nuts because of people's allergies?. I miss peanuts or something savory other than pretzels.,Neutral
273,EWX,NCX,2022-09-04,Ice cream was melted like water (was clearly did not follow the cold chain) Breakfast was only a small snack.,Neutral
1754,EWX,SAX,2022-09-04,Snack size of pretzels was very small. Only 2 snack choices.,Neutral
943,IAX,LIX,2022-09-04,"Presentation of wines was very good, but please upgrade the quality of the sparkling wines offered. Of late they have been sweet and not very effervescent. I wish you would offer something like Emirates does in business class such as Veuve Cliquot. The staff does the best they can given the choices.",Neutral
1761,IAX,RDX,2022-09-05,No.,Neutral
2331,PHX,EWX,2022-09-05,Nothing is served .,Neutral
451,ORX,ANX,2022-09-05,Start serving drinks early.,Neutral
877,HNX,SFX,2022-09-05,I had a infant in lap ticket for my toddler. She is 1 year and 11 months so it would have been nice to have some sort of baby food option like plain white rice. I was satisfied with my special vegetarian meal. Thank you!.,Neutral
3675,IAX,YYX,2022-09-05,The Thai veggie curry was delicious.,Neutral
2061,IAX,BOX,2022-09-06,no.,Neutral
276,IAX,GUX,2022-09-04,I am fine.,Neutral
1817,DEX,CLX,2022-09-06,"The option to pre-order a meal is fantastic. The desert options need to be more than a small round brownie or cookie. You need to bring back cheesecake or ice cream as an option, or a desert that is more seasonal in nature.",Neutral
27,LHX,DEX,2022-09-05,it was good.,Neutral
1716,MCX,ORX,2022-09-06,"I did not know what to expect with ""complimentary"" food and beverages. From Chicago only beverages were offered (size plane?). , From Orlando, larger plane or time of day, I was offer beverage and snack.",Neutral
3417,BGX,EWX,2022-09-05,short flight expected little food and beverage and that is what i got.,Neutral
2028,MSX,EWX,2022-09-06,the z'atar chicken was the tastiest airline food I have ever eaten.,Neutral
1930,EWX,MCX,2022-09-06,I would like to see a third wine choice.. a sweet wine for guests who do not drink reds or Chardonnay.,Neutral
1041,EWX,AUX,2022-09-05,"What a great idea to preorder, this way you get something that you can eat.",Neutral
1041,EWX,AUX,2022-09-05,"You should serve some snacks, chips or nuts.",Neutral
519,IAX,XPX,2022-09-05,"If I had not asked the flight attendant for my Tapas box, I would not have received it. Seems kind of silly to have people order food in advance, associate that order with their seat number, and then not offer the passenger the pre-ordered food unless they ask for it. This should be automatic.",Neutral
1583,AUX,ORX,2022-09-06,I think they should allow people to use their credit cards to purchase alcohol beverages on board without having to store the credit card in the app.,Neutral
4379,ICX,IAX,2022-09-05,Great coffee.,Neutral
1624,SBX,DEX,2022-09-07,Nice to have vegetarian options.,Neutral
1183,DEX,SMX,2022-09-06,I did order wine before the flight.,Neutral
1998,IAX,SFX,2022-09-06,Burger was bad…not sure how a burger could taste that way. Took 2 small bites and could not eat anymore.,Neutral
773,DEX,GJX,2022-09-07,I only had the pretzels.,Neutral
929,LHX,ORX,2022-09-07,Salad was brown and inedible.,Neutral
2448,RSX,EWX,2022-09-07,Refund my additional payment for Economy Plus!. You failed to deliver an exceptional service.,Neutral
3581,ROX,EWX,2022-09-07,Nothing was provided.,Neutral
1885,EWX,RSX,2022-09-07,Please continue to offer the chili.,Neutral
1885,EWX,RSX,2022-09-07,The chicken was very dry. But since this was a morning flight I wish they would offer more breakfast or lunch items and not heavy dinner type meals.,Neutral
1915,MCX,IAX,2022-09-08,Complimentary soft drinks not offered. No snack pretzels.,Neutral
744,DEX,LAX,2022-09-08,I would like to see better snacks like chips.,Neutral
590,DEX,EUX,2022-09-08,I was not offered a snack of any kind on this flight. Just a drink.,Neutral
462,DEX,IAX,2022-09-08,Desserts are awesome!. Chocolate chip tartlette is amazing!. Please never let that item go. And caramel wafer cookies are also delicious.,Neutral
27,LHX,DEX,2022-09-08,Try to up your vegan game including vegan desserts.,Neutral
27,LHX,DEX,2022-09-08,The food was really good and such a surprise!.,Neutral
33,LAX,NRX,2022-09-08,Just needed water at times. Few runs from flight attendants seemed. Every 2 hours should be offer for water.,Neutral
146,OPX,EWX,2022-09-08,It would be nice if you offer at least one kind of local beer ( Departure Country ).,Neutral
2046,DEX,TPX,2022-09-08,When did you stop providing an alcoholic beverage to comfort plus customers?.,Neutral
1135,DEX,OKX,2022-09-08,"water, no ice. No longer any snacks served.",Neutral
1635,MCX,IAX,2022-09-08,I would add LACTOSE FREE (for lactose intolerance people).,Neutral
908,ORX,FRX,2022-09-08,My dish had shredded cheese wgich should have neen melted in my opinion. It was not. The meal did not seem to have been heated at all.,Neutral
1148,IAX,JAX,2022-09-09,Even a bag of pretzels would of been nice.,Neutral
465,DEX,BUX,2022-09-06,"I ate at DIA so did not eat on the plane. Cocktails were, well, cocktails!.",Neutral
614,LOX,IAX,2022-09-09,No.,Neutral
614,LOX,IAX,2022-09-09,No.,Neutral
1023,DEX,PIX,2022-09-09,"Please offer more vegetarian or healthy options - plant based entrees, oat milk, overnight oats (as an alternative to yogurt) - the usual breakfast choice of French toast or eggs is not a good one.",Neutral
1970,EWX,SEX,2022-09-09,You’re good.,Neutral
2614,DEX,EWX,2022-09-09,This was a terrible terrible experience.,Neutral
128,DUX,IAX,2022-09-08,"The pesto cracker things were good. Thai green curry chicken was surprisingly good for airplane food. It looked like they had more than one kind of sandwich but they were kind of just tossing them to people, and we had to ask for them. It was decent.",Neutral
128,DUX,IAX,2022-09-08,All was great and tasty.,Neutral
2144,EWX,SJX,2022-09-09,Thank You.,Neutral
1291,IAX,SAX,2022-09-09,There were not options.,Neutral
3810,ORX,FAX,2022-09-09,I was surprised there were no snacks.,Neutral
5441,ORX,LNX,2022-09-09,Only water available. No other drinks and no snacks of any kind.,Neutral
444,ANX,EWX,2022-09-10,I love the flavored seltzer water called Aha.,Neutral
2058,YVX,IAX,2022-09-10,We were told only one snack - that is all that is allowed gratis With the choice of only pretzels or the cookies it is bare bones!.,Neutral
1831,IAX,BDX,2022-09-10,"I know it was only a one hour flight, but 1st Class should at least be offered at least a snack, even if only pre-packaged.",Neutral
1867,DEX,PHX,2022-09-10,United would do well to serve some small snack (like the competitors) with the complimentary drinks.,Neutral
3968,DAX,IAX,2022-09-10,Not enough water was served.,Neutral
3759,LNX,ORX,2022-09-10,I have had better meals. The supper was just okay. The breakfast was really light. A little more for breakfast would have been nice.,Neutral
1612,CLX,ORX,2022-09-09,No complimentary snack was made available.,Neutral
27,LHX,DEX,2022-09-10,"The main chicken course was delicious, tasty. just the portion was too small. I was truly surprised since it has been a long time since a meal selection was actually tasty. Pleasant surprise. Now execute on other flights because the outbound Denver London dinner meal was gross.",Neutral
27,LHX,DEX,2022-09-10,The lunch and snacks were great.,Neutral
1761,IAX,RDX,2022-09-10,We paid for premium seats ( (Step below first class) - Delta provides free drinks & upgraded snacks - All United gives is extra legroom.,Neutral
4440,EWX,BUX,2022-09-09,Too short of a flight for service.,Neutral
846,ORX,GRX,2022-09-10,Excelente.,Neutral
846,ORX,GRX,2022-09-10,The breakfast was poor.,Neutral
846,ORX,GRX,2022-09-10,"The breakfest could have more options, because sometimes people are in a comnection and do not have time to eat between.",Neutral
